Game_Number,Hybrid_codestral-22b_CSS_CoT,Hybrid_codestral-22b_CSS_ZeroShot,Hybrid_codestral-22b_Random_CoT,Hybrid_codestral-22b_Random_ZeroShot,Hybrid_codestral-22b_VOI_CoT,Hybrid_codestral-22b_VOI_ZeroShot,Hybrid_gemma-27b_CSS_CoT,Hybrid_gemma-27b_CSS_ZeroShot,Hybrid_gemma-27b_Random_CoT,Hybrid_gemma-27b_Random_ZeroShot,Hybrid_gemma-27b_VOI_CoT,Hybrid_gemma-27b_VOI_ZeroShot,Hybrid_granite-8b_CSS_CoT,Hybrid_granite-8b_CSS_ZeroShot,Hybrid_granite-8b_Random_CoT,Hybrid_granite-8b_Random_ZeroShot,Hybrid_granite-8b_VOI_CoT,Hybrid_granite-8b_VOI_ZeroShot,Hybrid_llama-3.1-70b_CSS_CoT,Hybrid_llama-3.1-70b_CSS_ZeroShot,Hybrid_llama-3.1-70b_Random_CoT,Hybrid_llama-3.1-70b_Random_ZeroShot,Hybrid_llama-3.1-70b_VOI_CoT,Hybrid_llama-3.1-70b_VOI_ZeroShot,Hybrid_llama-3.1-8b_CSS_CoT,Hybrid_llama-3.1-8b_CSS_ZeroShot,Hybrid_llama-3.1-8b_Random_CoT,Hybrid_llama-3.1-8b_Random_ZeroShot,Hybrid_llama-3.1-8b_VOI_CoT,Hybrid_llama-3.1-8b_VOI_ZeroShot,Hybrid_llama-3.3-70b_CSS_CoT,Hybrid_llama-3.3-70b_CSS_ZeroShot,Hybrid_llama-3.3-70b_Random_CoT,Hybrid_llama-3.3-70b_Random_ZeroShot,Hybrid_llama-3.3-70b_VOI_CoT,Hybrid_llama-3.3-70b_VOI_ZeroShot,Hybrid_mistral-7b_CSS_CoT,Hybrid_mistral-7b_CSS_ZeroShot,Hybrid_mistral-7b_Random_CoT,Hybrid_mistral-7b_Random_ZeroShot,Hybrid_mistral-7b_VOI_CoT,Hybrid_mistral-7b_VOI_ZeroShot,Hybrid_mistral-small_CSS_CoT,Hybrid_mistral-small_CSS_ZeroShot,Hybrid_mistral-small_Random_CoT,Hybrid_mistral-small_Random_ZeroShot,Hybrid_mistral-small_VOI_CoT,Hybrid_mistral-small_VOI_ZeroShot,Hybrid_nemotron-8b_CSS_CoT,Hybrid_nemotron-8b_CSS_ZeroShot,Hybrid_nemotron-8b_Random_CoT,Hybrid_nemotron-8b_Random_ZeroShot,Hybrid_nemotron-8b_VOI_CoT,Hybrid_nemotron-8b_VOI_ZeroShot,PureLLM_codestral-22b_CoT,PureLLM_codestral-22b_ZeroShot,PureLLM_gemma-27b_CoT,PureLLM_gemma-27b_ZeroShot,PureLLM_gpt-oss-120b_CoT,PureLLM_gpt-oss-120b_ZeroShot,PureLLM_gpt-oss-20b_CoT,PureLLM_gpt-oss-20b_ZeroShot,PureLLM_granite-8b_CoT,PureLLM_granite-8b_ZeroShot,PureLLM_llama-3.1-70b_CoT,PureLLM_llama-3.1-70b_ZeroShot,PureLLM_llama-3.1-8b_CoT,PureLLM_llama-3.1-8b_ZeroShot,PureLLM_llama-3.3-70b_CoT,PureLLM_llama-3.3-70b_ZeroShot,PureLLM_mistral-7b_CoT,PureLLM_mistral-7b_ZeroShot,PureLLM_mistral-small_CoT,PureLLM_mistral-small_ZeroShot,PureLLM_nemotron-8b_CoT,PureLLM_nemotron-8b_ZeroShot,Pure_Algo_css,Pure_Algo_css_then_voi,Pure_Algo_css_voi_alternating,Pure_Algo_pure_random,Pure_Algo_random,Pure_Algo_voi,Pure_Algo_voi_css_alternating,Pure_Algo_voi_then_css
72,1.0,1.25,1.25,1.0,1.6666666666666667,1.0,1.25,1.25,0.8333333333333334,1.25,1.0,1.25,1.25,1.3333333333333333,1.25,1.0,1.6666666666666667,1.25,1.25,1.25,1.0,1.6666666666666667,1.6666666666666667,1.0,1.25,1.25,1.25,1.25,1.0,1.25,1.25,1.0,1.0,1.25,1.25,1.25,1.6666666666666667,1.25,0.8333333333333334,1.25,1.25,0.8333333333333334,1.25,1.6666666666666667,1.0,1.25,1.0,1.25,1.6666666666666667,1.6666666666666667,1.25,1.25,1.6666666666666667,1.6666666666666667,1.25,1.0,1.25,1.0,1.25,1.25,1.25,1.3333333333333333,1.0,1.0,1.25,1.25,1.6666666666666667,1.0,1.25,1.0,1.6666666666666667,1.0,2.0,1.25,1.25,1.25,2.5,1.6666666666666667,1.25,0.0,1.6666666666666667,1.25,1.6666666666666667,1.25
73,1.0,1.0,1.25,0.8333333333333334,1.0,1.0,1.0,1.25,0.8,1.0,0.8,1.0,0.75,1.0,0.8333333333333334,1.25,1.0,0.1666666666666666,1.0,1.0,1.25,1.25,1.25,1.25,1.0,1.25,1.0,1.25,0.8,1.25,1.25,1.0,1.0,1.25,1.25,1.25,1.25,1.0,1.0,0.0,1.0,0.8333333333333334,1.25,1.0,1.0,0.8,1.25,1.0,1.25,1.0,1.6666666666666667,1.0,1.25,1.0,1.0,1.25,1.0,0.8,0.8,1.25,0.8,1.0,1.0,0.8,1.25,1.25,0.8,1.25,1.25,1.25,1.0,1.25,1.0,1.0,1.0,1.25,1.6666666666666667,1.6666666666666667,1.25,0.0,0.8333333333333334,1.0,1.25,1.25
74,0.8,0.75,1.25,1.0,1.0,1.25,1.25,1.6666666666666667,1.25,1.0,1.0,1.6666666666666667,2.0,1.3333333333333333,1.25,0.8,1.25,1.0,1.5,1.5,1.5,1.5,1.6666666666666667,1.5,1.5,1.5,0.8333333333333334,1.5,1.6666666666666667,1.5,0.8,1.5,1.5,1.5,1.0,1.5,1.6666666666666667,1.25,1.0,0.5,0.8333333333333334,1.6666666666666667,1.25,1.25,1.0,1.0,1.0,1.0,1.25,0.8,0.8,1.0,1.0,1.25,1.5,0.8,1.0,1.25,1.25,0.8,1.25,1.6666666666666667,1.6666666666666667,1.0,1.5,1.5,1.25,1.5,1.5,1.5,0.8333333333333334,1.6666666666666667,1.0,1.25,1.25,1.25,1.3333333333333333,1.0,0.8,0.0,0.5,1.0,1.25,2.0
75,1.25,1.0,1.25,1.0,1.25,1.3333333333333333,1.0,0.8,1.0,0.6666666666666666,1.25,0.8,1.0,1.25,1.0,1.0,0.6666666666666666,1.25,1.25,1.25,2.5,1.25,1.25,1.25,1.6666666666666667,1.25,1.6666666666666667,1.6666666666666667,1.0,1.25,1.6666666666666667,1.25,1.0,1.25,1.25,1.25,1.6666666666666667,1.0,1.0,1.25,1.0,1.5,1.25,1.25,1.0,1.0,1.25,1.5,1.3333333333333333,1.25,0.75,0.8,1.0,1.3333333333333333,1.25,1.0,1.25,1.0,1.6666666666666667,1.3333333333333333,1.25,1.25,1.3333333333333333,1.25,1.6666666666666667,1.25,1.25,1.25,1.25,1.25,1.0,1.25,1.25,0.8333333333333334,1.3333333333333333,1.25,1.25,1.25,1.25,-0.1666666666666666,1.0,1.0,1.25,1.25
76,1.25,1.6666666666666667,1.0,1.0,1.25,1.0,1.0,1.25,1.25,1.0,1.0,1.0,1.25,1.0,0.75,0.6666666666666666,1.0,0.8333333333333334,1.0,1.25,1.0,1.25,1.0,1.25,1.6666666666666667,1.25,1.25,0.8333333333333334,1.0,1.25,1.0,1.25,1.25,1.6666666666666667,1.25,1.25,1.0,1.0,1.25,0.8,1.0,1.0,1.25,1.25,1.0,1.25,0.8333333333333334,1.25,1.25,1.6666666666666667,1.0,1.0,1.0,1.0,1.25,0.8,1.25,1.25,1.25,1.25,1.0,1.25,1.0,0.8333333333333334,1.0,1.6666666666666667,1.25,1.6666666666666667,1.0,1.6666666666666667,0.8333333333333334,0.8,1.25,0.8333333333333334,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,0.8,0.0,0.8,0.8,1.6666666666666667,1.25
77,0.8333333333333334,1.3333333333333333,1.25,1.0,0.8,1.25,1.0,0.75,1.0,0.75,1.5,0.6,1.3333333333333333,1.6666666666666667,1.25,1.25,0.8,1.25,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.0,1.25,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,0.8,1.0,1.0,1.3333333333333333,1.25,1.3333333333333333,1.0,1.0,1.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.25,1.25,1.6666666666666667,1.25,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6,1.6666666666666667,1.0,0.8,1.6666666666666667,1.0,1.0,0.8,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.25,0.8333333333333334,2.5,1.25,1.25,-0.3333333333333333,1.6666666666666667,1.0,2.0,1.6666666666666667
78,1.0,2.5,1.25,0.8333333333333334,1.25,1.25,1.25,1.3333333333333333,1.25,2.0,1.25,1.3333333333333333,1.25,1.0,0.8333333333333334,1.25,0.8333333333333334,1.25,1.6666666666666667,1.6666666666666667,1.25,1.25,1.0,1.0,1.25,1.25,1.25,1.25,1.25,1.0,1.25,1.6666666666666667,1.6666666666666667,1.25,1.0,1.0,1.25,1.6666666666666667,1.25,0.8333333333333334,1.25,1.3333333333333333,1.25,1.0,1.6666666666666667,1.6666666666666667,1.25,1.25,1.0,1.6666666666666667,1.0,0.8,1.0,1.25,1.25,0.8333333333333334,1.6666666666666667,1.0,1.25,1.25,1.25,1.0,1.6666666666666667,1.25,1.25,1.25,1.25,1.0,1.25,1.25,1.0,1.25,1.6666666666666667,1.25,1.25,1.25,2.5,1.5,1.25,0.0,1.25,1.3333333333333333,1.25,1.25
79,1.0,1.25,0.8333333333333334,1.25,1.25,1.25,1.0,1.6666666666666667,1.25,1.25,1.25,1.25,1.25,1.6666666666666667,0.8,1.0,1.25,1.0,0.8,0.8,1.0,0.8,1.0,1.0,1.0,0.8,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,0.8,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,1.0,1.25,0.5,1.25,1.0,1.0,0.8,0.75,1.0,1.0,1.25,1.6666666666666667,1.25,2.0,1.25,0.8,1.0,1.25,1.25,1.6666666666666667,0.8,0.8333333333333334,1.3333333333333333,0.6666666666666666,0.8,0.8,1.0,1.25,0.75,1.3333333333333333,1.3333333333333333,1.25,1.6666666666666667,1.0,1.0,1.0,1.0,1.6666666666666667,1.3333333333333333,1.25,-0.1666666666666666,1.6666666666666667,1.0,1.25,1.25
80,1.3333333333333333,1.3333333333333333,1.25,1.25,1.25,1.0,1.0,1.25,1.0,0.6666666666666666,1.0,1.0,1.25,1.25,1.25,1.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.25,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.6666666666666667,1.0,1.25,0.8333333333333334,1.25,1.0,1.6666666666666667,0.8,1.3333333333333333,1.3333333333333333,1.5,1.0,1.0,1.25,1.3333333333333333,1.6666666666666667,1.25,0.6,1.3333333333333333,0.6666666666666666,1.25,1.0,0.8333333333333334,0.8333333333333334,1.0,1.3333333333333333,1.25,1.0,1.25,2.0,1.25,1.0,1.25,1.0,1.6666666666666667,0.8333333333333334,1.6666666666666667,1.0,0.6666666666666666,0.8333333333333334,1.0,2.0,1.0,1.25,-0.1666666666666666,1.0,1.25,1.25,1.6666666666666667
81,1.0,1.6666666666666667,1.25,1.6666666666666667,1.25,1.6666666666666667,1.25,1.25,1.25,0.8333333333333334,1.0,0.6666666666666666,0.8,1.6666666666666667,1.25,1.0,1.25,1.0,1.25,0.6666666666666666,1.25,0.8333333333333334,0.6666666666666666,1.0,1.0,0.8333333333333334,0.8333333333333334,1.25,1.25,0.8333333333333334,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.25,0.8333333333333334,1.25,1.25,1.0,0.8333333333333334,1.0,1.25,1.0,0.8333333333333334,0.6666666666666666,0.8,1.6666666666666667,0.8333333333333334,1.6666666666666667,1.0,1.6666666666666667,1.0,0.75,1.25,0.8333333333333334,1.0,1.6666666666666667,0.6666666666666666,0.5,1.3333333333333333,0.8333333333333334,1.25,1.6666666666666667,1.0,0.8333333333333334,1.6666666666666667,1.25,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.5,1.0,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,0.0,1.25,1.0,1.0,0.8
82,0.8333333333333334,1.3333333333333333,1.0,1.25,1.25,0.6666666666666666,1.0,1.25,0.5,1.0,1.0,1.0,1.0,0.6,1.25,0.8,1.0,0.8333333333333334,1.0,1.6666666666666667,0.6666666666666666,1.25,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.25,1.6666666666666667,1.0,0.6666666666666666,1.25,1.6666666666666667,1.25,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.8333333333333334,1.0,1.0,1.25,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.25,1.6666666666666667,1.3333333333333333,0.8,0.75,1.0,1.25,0.8,1.0,1.0,1.0,1.25,0.8333333333333334,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.25,1.25,0.6666666666666666,0.8333333333333334,1.0,1.25,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.25,0.5,1.3333333333333333,1.6666666666666667,1.0,0.1666666666666666,0.8333333333333334,1.3333333333333333,1.25,1.0
83,1.25,1.25,1.25,1.0,1.25,1.25,1.0,1.25,1.25,1.25,1.6666666666666667,1.25,1.25,1.25,1.25,1.6666666666666667,1.0,1.0,1.25,1.25,1.25,1.25,1.0,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,1.0,1.25,1.25,1.6666666666666667,1.0,1.0,1.6666666666666667,1.25,0.1666666666666666,1.0,1.25,1.25,1.0,1.6666666666666667,1.25,1.3333333333333333,1.0,0.8,1.25,1.25,1.0,1.6666666666666667,1.0,1.0,1.25,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.25,1.0,1.25,1.25,1.3333333333333333,1.25,1.0,1.3333333333333333,1.0,1.3333333333333333,1.25,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,1.25,2.5,1.25,1.6666666666666667,-0.1666666666666666,1.3333333333333333,1.25,1.25,1.3333333333333333
84,1.0,1.0,1.25,0.8333333333333334,0.8,1.0,1.25,0.6666666666666666,1.25,0.8,1.0,1.0,0.6666666666666666,1.0,1.6666666666666667,1.25,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.25,1.25,1.6666666666666667,1.0,1.0,0.8333333333333334,1.25,1.0,1.6666666666666667,0.8333333333333334,1.0,1.25,1.25,1.25,1.6666666666666667,1.25,1.0,1.25,1.0,1.6666666666666667,0.8,1.0,1.0,0.6666666666666666,0.75,1.25,0.5,0.3333333333333333,1.0,0.8333333333333334,0.8,0.8,1.3333333333333333,0.6666666666666666,0.8333333333333334,0.8,1.25,1.0,0.6666666666666666,1.25,0.6666666666666666,1.0,1.0,1.3333333333333333,1.0,1.0,1.25,1.0,1.25,1.25,1.25,1.0,1.0,1.0,1.0,1.6666666666666667,1.25,0.8,1.25,1.0,0.0,1.0,1.25,0.5,1.0
85,1.3333333333333333,1.3333333333333333,1.0,1.0,1.3333333333333333,0.8333333333333334,1.0,2.0,0.8333333333333334,1.0,0.6666666666666666,2.0,1.0,1.0,1.3333333333333333,1.25,1.3333333333333333,1.0,0.8,0.8,0.6666666666666666,1.0,1.25,0.6666666666666666,0.8,0.6666666666666666,0.8,1.0,0.8,0.3333333333333333,0.8,0.8,0.8,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,1.3333333333333333,1.25,1.0,1.6666666666666667,1.6666666666666667,1.0,1.25,0.75,0.8333333333333334,0.6,1.0,1.25,0.8,1.25,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.25,0.8,1.0,0.6666666666666666,0.8,0.8,1.0,0.8,0.8,0.5,0.6666666666666666,1.25,1.25,1.6666666666666667,1.25,1.5,1.25,1.3333333333333333,0.1666666666666666,0.8333333333333334,1.25,1.0,1.25
86,1.0,0.8,0.8333333333333334,0.8,1.6666666666666667,0.8,1.6666666666666667,2.5,0.5,1.0,1.25,1.0,0.8,1.25,1.0,0.8333333333333334,1.0,1.0,1.25,0.5,1.25,1.25,0.8333333333333334,0.5,1.0,1.25,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,1.25,0.5,1.0,1.25,0.5,1.3333333333333333,0.75,1.25,1.25,1.25,1.25,1.25,0.75,1.3333333333333333,1.0,0.8333333333333334,1.25,1.25,0.75,0.8,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.25,1.6666666666666667,1.25,0.5,0.8333333333333334,1.0,1.0,1.25,1.25,1.25,1.0,1.25,1.25,1.25,1.0,1.0,1.25,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,-0.1666666666666666,1.25,1.25,1.0,1.3333333333333333
87,1.0,0.75,0.6666666666666666,1.0,1.0,1.0,0.6,1.25,1.0,0.8333333333333334,1.0,1.0,1.3333333333333333,1.25,0.5,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.25,0.8,1.25,1.25,0.8333333333333334,1.25,1.25,1.0,1.0,1.0,1.25,1.25,1.25,0.6666666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.25,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,0.8333333333333334,1.25,0.8333333333333334,1.25,1.0,1.0,1.25,0.8333333333333334,1.6666666666666667,1.0,1.0,1.25,0.6,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,0.5,0.8,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.25,0.6,0.5,0.8333333333333334,0.75,1.0,1.0,2.0,1.0,-0.1666666666666666,1.25,1.0,1.6666666666666667,1.6666666666666667
88,1.25,1.25,1.25,1.0,1.25,1.25,1.0,1.3333333333333333,1.0,1.3333333333333333,1.25,0.8,1.25,1.0,1.25,0.5,1.0,1.25,1.25,0.8,0.8,0.6666666666666666,1.0,1.0,0.8,0.8,1.0,1.0,0.6666666666666666,0.8,1.0,1.3333333333333333,0.6666666666666666,0.8,1.0,0.6666666666666666,1.0,0.8,1.0,0.75,1.0,1.0,2.5,1.0,0.8333333333333334,1.25,1.0,0.8333333333333334,1.5,1.25,1.0,0.8333333333333334,1.0,1.0,1.25,1.25,1.25,1.3333333333333333,1.0,0.8333333333333334,0.6666666666666666,1.25,1.0,1.3333333333333333,0.8333333333333334,0.8,0.8,0.8333333333333334,0.6666666666666666,0.8,1.25,1.0,1.0,1.6666666666666667,0.8,1.0,1.25,1.5,1.0,0.0,1.25,1.0,1.0,1.0
89,0.6666666666666666,1.6666666666666667,1.0,1.0,1.25,1.25,0.6666666666666666,0.8,1.6666666666666667,0.8,1.0,1.0,1.25,1.0,1.0,1.6666666666666667,0.3333333333333333,1.0,0.8,1.0,0.6666666666666666,1.0,1.25,0.6666666666666666,1.0,0.8,0.8,1.0,1.25,0.8,1.3333333333333333,0.8,1.25,0.8,0.8,1.0,1.0,0.8333333333333334,0.6666666666666666,0.6,1.25,0.8333333333333334,1.25,1.25,1.3333333333333333,1.6666666666666667,0.8,1.25,1.3333333333333333,1.0,1.25,1.6666666666666667,1.0,1.0,1.0,1.0,1.25,0.8,1.6666666666666667,1.0,1.0,1.0,1.0,1.25,1.0,0.3333333333333333,1.25,1.0,0.8333333333333334,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,1.0,1.25,1.3333333333333333,2.5,1.25,1.6666666666666667,-0.1666666666666666,1.0,0.8,1.3333333333333333,1.6666666666666667
90,1.0,0.8333333333333334,1.25,1.0,1.25,1.25,0.8333333333333334,1.0,1.6666666666666667,1.25,1.0,1.6666666666666667,1.25,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.8,1.3333333333333333,0.8,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6,1.0,0.3333333333333333,1.25,1.25,1.0,1.6666666666666667,1.25,1.25,1.3333333333333333,0.8333333333333334,1.25,1.0,1.0,0.75,0.8333333333333334,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.0,1.0,1.0,1.25,0.6666666666666666,1.0,1.3333333333333333,1.25,0.8333333333333334,0.8333333333333334,0.6666666666666666,1.3333333333333333,1.25,1.0,0.8,1.0,1.0,1.25,1.6666666666666667,1.0,0.5,2.0,1.25,1.0,0.3333333333333333,1.25,0.5,1.25,0.8
91,0.8,1.25,1.25,1.0,0.5,1.0,1.25,1.25,0.6666666666666666,1.6666666666666667,0.5,1.6666666666666667,1.25,1.25,1.25,0.8333333333333334,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,1.0,0.8,1.25,0.8,0.6666666666666666,0.8,1.0,0.8,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.25,1.25,0.8333333333333334,0.6666666666666666,1.0,1.25,0.8333333333333334,1.0,1.25,1.25,1.6666666666666667,1.25,1.25,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.75,1.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.0,0.6666666666666666,0.8,1.0,0.8,1.0,1.0,0.75,0.8333333333333334,1.0,1.3333333333333333,1.3333333333333333,0.1666666666666666,0.8333333333333334,1.25,1.25,1.3333333333333333
92,1.25,2.0,1.0,0.8333333333333334,1.6666666666666667,1.25,1.3333333333333333,2.0,1.0,2.0,1.25,2.0,1.25,1.6666666666666667,1.6666666666666667,0.8333333333333334,1.6666666666666667,1.25,1.3333333333333333,1.0,0.8,0.5,0.8,0.6666666666666666,1.25,1.3333333333333333,0.8,0.6666666666666666,1.25,1.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.25,1.25,1.25,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.0,0.8,1.3333333333333333,1.3333333333333333,1.5,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.25,1.0,2.0,1.0,1.0,1.0,0.8,1.0,1.6666666666666667,1.0,0.8,0.8,1.0,1.25,0.8,0.8,1.0,1.6666666666666667,1.25,1.0,1.3333333333333333,2.0,1.0,1.6666666666666667,-0.1666666666666666,1.25,1.6666666666666667,0.75,1.6666666666666667
93,1.0,1.25,1.0,0.6666666666666666,1.0,1.3333333333333333,0.8,1.3333333333333333,1.0,2.0,1.0,1.3333333333333333,1.3333333333333333,0.8,0.8333333333333334,1.0,1.25,1.25,1.0,1.0,1.25,0.8333333333333334,1.25,0.8333333333333334,1.0,1.6666666666666667,1.25,2.5,1.25,1.0,1.6666666666666667,1.25,1.25,1.25,1.0,1.0,1.25,0.6,1.25,1.3333333333333333,1.25,1.0,1.25,1.0,0.75,1.25,1.25,1.25,1.25,0.75,0.4,1.6666666666666667,0.75,1.25,1.0,0.8,1.25,1.0,0.8,0.5,0.6,0.6666666666666666,1.25,0.6666666666666666,1.0,1.0,1.0,1.25,0.8333333333333334,1.0,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,0.8333333333333334,1.25,1.25,1.6666666666666667,0.1666666666666666,1.25,0.5,1.0,1.6666666666666667
94,1.0,1.0,1.25,1.25,1.0,1.25,1.25,1.25,1.0,0.8333333333333334,1.25,1.0,1.0,1.25,1.0,0.75,1.0,0.8333333333333334,1.25,1.25,1.6666666666666667,1.25,1.25,1.25,1.25,1.25,0.8333333333333334,1.25,1.0,1.25,1.6666666666666667,1.25,1.0,1.25,1.25,1.25,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.8,1.3333333333333333,1.0,1.6666666666666667,1.0,1.25,1.0,1.25,1.0,1.25,1.25,1.6666666666666667,1.3333333333333333,1.25,1.0,1.0,1.25,1.25,1.25,1.25,1.25,2.0,1.0,1.25,1.0,1.6666666666666667,1.25,1.0,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.25,2.5,1.25,1.25,-0.1666666666666666,1.6666666666666667,1.0,1.25,1.25
95,1.3333333333333333,1.25,1.0,0.8333333333333334,0.8333333333333334,1.0,1.25,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.6666666666666667,0.6666666666666666,0.8333333333333334,1.25,1.0,0.6666666666666666,1.0,1.0,0.8,0.6666666666666666,0.8,1.0,1.0,1.25,0.6666666666666666,1.25,0.6666666666666666,1.0,1.0,1.0,1.0,1.25,1.0,1.25,1.0,1.0,1.25,1.25,1.25,1.0,1.0,1.25,1.5,1.0,1.0,0.4,1.25,1.3333333333333333,1.0,1.25,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,0.8,1.0,1.0,0.6666666666666666,1.6666666666666667,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.6666666666666667,0.5,0.8,1.3333333333333333,0.6666666666666666,1.0,2.5,1.3333333333333333,0.8333333333333334,2.5,1.25,1.3333333333333333,0.1666666666666666,1.0,1.0,1.25,1.6666666666666667
96,0.8333333333333334,1.0,1.25,0.8,1.25,1.0,1.25,1.3333333333333333,1.25,1.0,1.25,1.0,1.25,0.8333333333333334,1.25,0.8333333333333334,1.25,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.25,0.75,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.25,1.0,0.5,0.8333333333333334,1.25,1.0,1.0,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.75,1.0,1.0,0.8,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.6666666666666667,1.25,1.25,1.0,1.0,0.1666666666666666,1.0,1.25,1.0,1.25
97,0.8333333333333334,0.75,0.8333333333333334,1.0,0.8333333333333334,1.0,1.0,1.25,1.0,0.8333333333333334,1.0,0.8333333333333334,1.25,1.0,0.1666666666666666,1.25,1.25,0.5,1.0,1.0,1.6666666666666667,1.0,1.25,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.25,1.0,1.25,1.25,1.0,0.8333333333333334,0.8333333333333334,1.6666666666666667,1.0,1.0,0.3333333333333333,1.25,0.8333333333333334,1.0,0.8,1.25,1.25,1.25,1.25,0.8333333333333334,1.25,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8,1.0,1.0,1.25,0.8333333333333334,1.0,0.5,0.8333333333333334,0.6666666666666666,1.6666666666666667,1.0,1.0,1.0,1.25,0.8333333333333334,0.8,1.0,1.0,1.0,1.25,0.8333333333333334,1.0,1.25,1.0,0.8,1.0,0.0,0.8,1.25,1.0,1.0
